date;open;high;low;close;volume
2021-10-28;73349.92;73524.34;73133.43;73217.44;44356022
2021-10-29;73159.21;74175.44;72940.77;73586.32;55914005
2021-11-02;73807.64;74163.21;73354.88;73770.02;71951703
2021-11-03;73986.18;74261.74;72724.77;72975.13;62651568
2021-11-04;73585.77;74725.82;73516.78;74659.51;61054614
2021-11-05;74565.22;74899.53;74347.21;74813.24;54552714
2021-11-08;75018.06;75018.06;74265.38;74431.48;39351668
2021-11-09;74378.42;74378.42;73539.99;73574.18;48577618
2021-11-10;73587.41;73902.29;72410.01;72794.96;65462666
2021-11-12;73267.1;73270.32;72574.53;72574.53;52506817
2021-11-15;72745.61;73281.82;72086.26;72086.26;47893914
2021-11-16;72325.52;72447.49;71938.9;72119.39;41828674
2021-11-17;72394.51;72443.13;71381.72;71522.51;40755903
2021-11-18;71308.85;71308.85;69871.31;70145.47;48420757
2021-11-19;70415.04;70527.88;68677.64;69415.67;57328385
2021-11-22;69545;69722.49;68863.32;69339.63;47704702
2021-11-23;69124.89;69724.16;68649.29;69573.78;42736617
2021-11-24;69725.88;69961.35;68821.04;69124.84;45781557
2021-11-25;69272.36;69342.24;68647.54;68860.62;33266292
2021-11-26;67287.85;67314.34;66365.51;66440.82;68149958
2021-11-29;66904.98;66957.15;65768.62;66648.65;60234439
2021-11-30;65940.54;67966.86;65915.5;67814.89;95624557
2021-12-01;68571.91;68793.95;67885.54;68513.01;52740418
2021-12-02;67976.69;68311.44;67670.97;68203.86;44102870
2021-12-03;68541.74;68836.96;67631.17;67730.01;45226639
2021-12-06;68009.91;68132.38;67586.6;67835.38;42898480
2021-12-07;68454.96;69009.39;68377.13;68979.12;49899156
2021-12-08;69285.93;69367.22;68586.93;68729.56;37833970
2021-12-09;68586.85;69107.64;67689.35;68326.8;43796799
2021-12-10;68097.45;68671.85;68097.45;68368.83;25516223
2021-12-13;68609.19;69140.58;68058.68;68230.1;40918412
2021-12-14;68513.76;68513.76;67621.4;67902.92;43219777
2021-12-15;67665.48;67700.01;66411.74;66570.63;43422957
2021-12-16;67454.5;68048.97;67218.46;67984.08;46693943
2021-12-17;67612.02;67775.33;66986.58;67153.1;93207649
2021-12-20;66100.81;67146.64;65750.84;67069.57;41873371
2021-12-21;67426.68;67522.91;67087.2;67163.26;37753890
2021-12-22;67336.42;67756.65;67231.7;67756.65;34230195
2021-12-23;67970.63;68251.88;67890.94;68120.16;46385531
2021-12-27;68258.28;68258.28;67653.01;68090.43;56825333
2021-12-28;67998.76;68777;67998.76;68737.48;65500769
2021-12-29;68629.83;69166.86;68629.83;69148.97;45275146
2021-12-30;69176.63;69296.26;68854.2;69296.26;43081149
2022-01-03;69667.28;70392.64;69667.28;70077.55;41067919
2022-01-04;70495.22;70514.03;70129.75;70469.03;47031567
2022-01-05;70273.57;70750.99;70146.88;70750.99;46096164
2022-01-07;70348.39;70863.53;69990.43;70850.99;44167420
2022-01-10;70959.53;71260.31;70361.52;70411.91;43229218
2022-01-11;70939.34;71722.88;70542.91;71706.57;49107396
2022-01-12;72255.12;73334.24;72251.38;73334.24;70016387
2022-01-13;73301.37;73697.5;73132.82;73245.28;62205766
2022-01-14;73106.68;73296.41;72266.53;72563.29;48356145
2022-01-17;72495.06;72682.57;72064.71;72250.41;43721291
2022-01-18;72021.47;72081.1;70911.85;70911.85;41192501
2022-01-19;70430.12;71205.73;70166.2;70733.07;73620310
2022-01-20;71029.38;71076.67;70144.2;70419.86;43157560
2022-01-21;69833.83;69881.49;68911.92;69265.35;51874168
2022-01-24;68998.2;69397.4;65673.3;66220.35;74150830
2022-01-25;66803.27;67433.84;66235.32;67047.4;49977951
2022-01-26;67339.1;68376.45;67339.1;68035.19;39073747
2022-01-27;67210.05;68294.2;67141.53;68131.21;34411847
2022-01-28;68080.79;68080.79;66447.05;66892.11;42486731
2022-01-31;67682.23;67734.76;67022.01;67418.41;41282346
2022-02-01;67968.28;68234.98;67671.91;67972.26;29313613
2022-02-02;68267.6;69062.32;68000.73;68875.71;50468765
2022-02-03;68766.54;68862.26;68273.23;68551;46684231
2022-02-04;68657.02;68769.52;67149.47;67149.47;38874718
2022-02-07;67717.85;67780.22;66560.67;67090.36;33358704
2022-02-08;67122.9;68071.99;67122.9;68071.99;39168799
2022-02-09;68280.67;68567.24;68149.67;68491.39;39096469
2022-02-10;68624.07;68664.83;67669.2;67939.86;30294795
2022-02-11;67450.64;67670.97;66748.24;67618;28239248
2022-02-14;66135.16;66494.34;64980.65;66094.22;49971133
2022-02-15;66444.36;67889.91;66444.36;67532.04;36501183
2022-02-16;68242.16;68537.26;67341.97;67607.05;33950735
2022-02-17;67713.42;67713.42;66297.72;66409.08;44223558
2022-02-18;66382.55;66806.76;65696.56;65696.56;31712921
2022-02-21;66026.34;66135.45;63248.93;63605.74;46350475
2022-02-22;61873.9;64482.62;61810.12;64384.3;60774791
2022-02-23;64806.12;65155.22;62826.09;62826.09;45355167
2022-02-24;59796.96;59796.96;54822.98;56086.65;157680847
2022-02-25;57308.49;60913.45;57308.49;60414.19;102120906
2022-02-28;58835.76;61216.18;58469.92;61141.35;117922861
2022-03-01;61478.81;62379.14;59973.9;60030.88;104872253
2022-03-02;59904.47;61659.59;59712.56;61659.59;140979496
2022-03-03;62140.55;62269.73;60747.53;61010.19;146584955
2022-03-04;60402.79;60556.1;57768.43;58386.18;97999666
2022-03-07;57235.36;59043.51;56468.97;58562.7;149418580
2022-03-08;58264.12;59578.76;57598.4;57908.79;84786997
2022-03-09;58932.66;59964.45;58709.38;59917.86;87505171
2022-03-10;60449.78;60461.43;59320.49;59796.72;69166273
2022-03-11;60284.54;61565.52;60222.24;61323.15;70867682
2022-03-14;61167.54;61363.42;60040.83;60044.05;53410995
2022-03-15;60040.69;61072.87;59378.19;60656.75;54494273
2022-03-16;61763.41;62488.8;61635.1;62488.8;72103900
2022-03-17;63132.35;64133.07;63052.33;64133.07;72802394
2022-03-18;64159.15;64408.4;63258.37;63658.84;110169560
2022-03-21;63885.76;64366.38;63299.62;63588.98;62897257
2022-03-22;63869.15;64347.59;63660.28;64318.55;57745188
2022-03-23;64596.85;65007.67;63886.81;64374.28;51220856
2022-03-24;64659.12;65225.9;64290.74;64948.68;62276378
2022-03-25;65178.45;65178.45;63988.05;64420.13;51808346
2022-03-28;64432.35;65111.64;64432.35;64581.93;43196329
2022-03-29;64959.31;66152.28;64230.04;65603.53;78242699
2022-03-30;65814.89;66052;65374.78;65909.37;52152441
2022-03-31;65917.22;66050.07;64900.36;64900.36;55212389
2022-04-01;65156.24;65740.4;65123.74;65716.19;53556601
2022-04-04;66049.06;66222.27;65431.66;65685.17;64211281
2022-04-05;65875.34;66041.07;64799.53;64906.52;44228945
2022-04-06;64926.56;64977.91;63705.02;64264.54;57680081
